BSHD,2012/08/28 18:50:25,0001,0116.0003,15840  
Pilot Sector Name,SID,NID,Extend BID,T-PN,Antenna Lati,Antenna Longi,Antenna Alti,Antenna Loc Accu,Sector Center Lati,Sector Center Longi,Sector Center Alti,Antenna Orientation,Antenna Opening,Max Antenna Range,Terrain Average Height,Terrain Height Standard Deviation,Potential Repeater,PN Increment,FWD Calib,FWD Calib Accu,RTD Calib,RTD Calib Accu,FormatType,SwitchNum
NJC4-0-283-youfuxijie_BBU_9,14174,10,15859776,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,18546752,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,66388032,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,13172801,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,15859777,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,18546753,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,66388033,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,13172802,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,15859778,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,18546754,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,66388034,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,13172803,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,15859779,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,18546755,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-4-283-youfuxijie_BBU_9,14174,10,13172804,335,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-4-283-youfuxijie_BBU_9,14174,10,15859780,335,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-4-283-youfuxijie_BBU_9,14174,10,18546756,335,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-5-283-youfuxijie_BBU_9,14174,10,13172805,336,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-5-283-youfuxijie_BBU_9,14174,10,15859781,336,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-5-283-youfuxijie_BBU_9,14174,10,18546757,336,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-5-283-youfuxijie_BBU_9,14174,10,66388037,336,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-0-283-youfuxijie_BBU_10,14174,10,10485840,146,32.043542,118.799583,5,300,32.043542,118.799583,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-0-283-youfuxijie_BBU_10,14174,10,13172816,146,32.043542,118.799583,5,300,32.043542,118.799583,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-0-283-youfuxijie_BBU_10,14174,10,15859792,146,32.043542,118.799583,5,300,32.043542,118.799583,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-0-283-youfuxijie_BBU_10,14174,10,18546768,146,32.043542,118.799583,5,300,32.043542,118.799583,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-1-283-youfuxijie_BBU_10,14174,10,13172817,164,32.049722,118.790000,5,300,32.049722,118.790000,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-1-283-youfuxijie_BBU_10,14174,10,15859793,164,32.049722,118.790000,5,300,32.049722,118.790000,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-1-283-youfuxijie_BBU_10,14174,10,18546769,164,32.049722,118.790000,5,300,32.049722,118.790000,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-2-283-youfuxijie_BBU_10,14174,10,13172818,327,32.046389,118.785556,5,300,32.046389,118.785556,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-2-283-youfuxijie_BBU_10,14174,10,15859794,327,32.046389,118.785556,5,300,32.046389,118.785556,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-2-283-youfuxijie_BBU_10,14174,10,18546770,327,32.046389,118.785556,5,300,32.046389,118.785556,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-3-283-youfuxijie_BBU_10,14174,10,13172819,484,32.044167,118.800278,5,300,32.044167,118.800278,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-3-283-youfuxijie_BBU_10,14174,10,15859795,484,32.044167,118.800278,5,300,32.044167,118.800278,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1754-3-283-youfuxijie_BBU_10,14174,10,18546771,484,32.044167,118.800278,5,300,32.044167,118.800278,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC5-5-242-youfuxijie_BBU_10_A,14174,10,13172821,507,32.043469,118.787810,20,300,32.043469,118.787810,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC5-5-242-youfuxijie_BBU_10_A,14174,10,15859797,507,32.043469,118.787810,20,300,32.043469,118.787810,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC5-5-242-youfuxijie_BBU_10_A,14174,10,18546773,507,32.043469,118.787810,20,300,32.043469,118.787810,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC7-4-201-jiandegongsi_C,14174,11,13172852,135,31.691447,119.034625,38,300,31.695497,119.034625,26,0,120,1500,27,4,0,1,15.00,39,1.00,524,1,-1
NJC7-4-201-jiandegongsi_C,14174,11,18546804,135,31.691447,119.034625,38,300,31.695497,119.034625,26,0,120,1500,27,4,0,1,15.00,39,1.00,524,1,-1
NJC7-5-201-jiandegongsi_C,14174,11,13172853,303,31.691447,119.034625,38,300,31.689422,119.038747,27,120,120,1500,26,1,0,1,15.00,39,1.00,524,1,-1
NJC7-5-201-jiandegongsi_C,14174,11,18546805,303,31.691447,119.034625,38,300,31.689422,119.038747,27,120,120,1500,26,1,0,1,15.00,39,1.00,524,1,-1
NJC7-6-201-jiandegongsi_C,14174,11,13172854,471,31.691447,119.034625,38,300,31.689422,119.030503,26,240,120,1500,27,4,0,1,15.00,39,1.00,524,1,-1
NJC7-6-201-jiandegongsi_C,14174,11,18546806,471,31.691447,119.034625,38,300,31.689422,119.030503,26,240,120,1500,27,4,0,1,15.00,39,1.00,524,1,-1
NJC8-0-283-xinhuashudian_BBU_1,14174,10,10485888,138,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-0-283-xinhuashudian_BBU_1,14174,10,13172864,138,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-0-283-xinhuashudian_BBU_1,14174,10,15859840,138,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-0-283-xinhuashudian_BBU_1,14174,10,18546816,138,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-1-283-xinhuashudian_BBU_1,14174,10,10485889,306,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-1-283-xinhuashudian_BBU_1,14174,10,13172865,306,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-1-283-xinhuashudian_BBU_1,14174,10,15859841,306,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC8-1-283-xinhuashudian_BBU_1,14174,10,18546817,306,32.043333,118.782083,5,300,32.043333,118.782083,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC9-4-242-ruikaiguoji_C,14174,11,13172884,90,32.221848,118.733681,33,300,32.225898,118.733681,27,0,120,1500,25,6,0,1,15.00,39,1.00,524,1,-1
NJC9-4-242-ruikaiguoji_C,14174,11,15859860,90,32.221848,118.733681,33,300,32.225898,118.733681,27,0,120,1500,25,6,0,1,15.00,39,1.00,524,1,-1
NJC9-4-242-ruikaiguoji_C,14174,11,18546836,90,32.221848,118.733681,33,300,32.225898,118.733681,27,0,120,1500,25,6,0,1,15.00,39,1.00,524,1,-1
NJC9-5-242-ruikaiguoji_C,14174,11,13172885,258,32.221848,118.733681,40,300,32.219823,118.737827,40,120,120,1500,34,4,0,1,15.00,39,1.00,524,1,-1
NJC9-5-242-ruikaiguoji_C,14174,11,15859861,258,32.221848,118.733681,40,300,32.219823,118.737827,40,120,120,1500,34,4,0,1,15.00,39,1.00,524,1,-1
NJC9-5-242-ruikaiguoji_C,14174,11,18546837,258,32.221848,118.733681,40,300,32.219823,118.737827,40,120,120,1500,34,4,0,1,15.00,39,1.00,524,1,-1
NJC9-6-242-ruikaiguoji_C,14174,11,13172886,426,32.221848,118.733681,33,300,32.219823,118.729535,24,240,120,1500,23,5,0,1,15.00,39,1.00,524,1,-1
