,,,,,,,,,,,MP4.5.1.2.1
时间戳,载扇标识,省份,城市,载扇所属MSC标识,载扇所属MGW标识,载扇所属BSC标识,载扇所属BTS标识,载扇所属扇区标识,载扇所属扇区名称,载波编号,广播时隙周期索引
2011-04-01,WZ_OMP6.148.2.2,浙江,杭州,ZJ_MSCe36,WZ_MGW4,WZ_OMP6.13,WZ_OMP6.148,WZ_OMP6.148.2,文成国际大酒店M,2,0
2011-04-01,WZ_OMP6.279.2.1,浙江,杭州,ZJ_MSCe36,WZ_MGW4,WZ_OMP6.13,WZ_OMP6.279,WZ_OMP6.279.2,泰顺新城商务区2号楼M,1,0
2011-04-01,WZ_OMP6.206.2.1,浙江,杭州,ZJ_MSCe36,WZ_MGW4,WZ_OMP6.13,WZ_OMP6.206,WZ_OMP6.206.2,苍南金乡狮山公园_2,1,0
