,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP1.7.2.1.1,MP1.7.2.1.2,MP1.7.2.1.3,MP1.7.2.2.1,MP1.7.2.2.2,MP1.7.2.2.3,MP1.7.2.2.4,MP1.7.2.2.5,MP1.7.2.2.6,MP1.7.2.2.7,MP1.7.2.3.1,MP1.7.2.3.2,MP1.7.2.3.3,MP1.7.2.3.4,MP1.7.2.3.5,MP1.7.2.3.6
源省际边界载扇标识,时间戳,省份,城市,源载扇所属MSC标识,源载扇所属MGW标识,源载扇所属BSC标识,源载扇所属BTS标识,源载扇所属扇区标识,源载扇所属扇区名称,源载扇所属扇区编号,源载波编号,源载波频点,源pn,邻区顺序,切换方法,邻载扇标识,邻载扇行政区,邻载扇所属ＭＳＣ标识,邻载扇所属ＭＧＷ标识,邻载扇所属ＢＳＣ标识,邻载扇所属ＢＴＳ标识,邻载扇所属扇区标识,邻扇区名称,邻扇区编号,邻载波标识,邻载波频点,邻pn,邻扇区所属省,邻扇区所属城市,邻区关系类型,邻扇区所属厂家,是否为外部邻区,中心载频,相邻载频,同频优先级,中心载频,相邻载频,是否包含相邻集分支搜索窗口大小,相邻集分支搜索窗口大小,是否包含相邻集分支搜索窗口偏置,相邻集分支搜索窗口偏置,搜索优先级,中心载频,相邻载频,是否包含相邻集分支搜索窗口大小,相邻集分支搜索窗口大小,是否包含相邻集分支搜索窗口偏置,相邻集分支搜索窗口偏置
HZ_OMC2.LZBSC1.1024.2.4,2010/12/11,浙江,杭州,HZ_MSC3,HZ_MGW1,HZ_OMC2.LZBSC1,HZ_OMC2.LZBSC1.1024,HZ_OMC2.LZBSC1.1024.2,杭州市长城大厦O-CD-2,2,4,119,231,0,,HZ_OMC2.LZBSC1.1024.1.4,10201,HZ_MSC3,HZ_MGW1,HZ_OMC2.LZBSC1,HZ_OMC2.LZBSC1.1024,HZ_OMC2.LZBSC1.1024.1,杭州市长城大厦O-CD-1,1,4,119,63,浙江,杭州,3,华为,0,1024-1024-2-119-BC800,1024-1024-1-119-BC800,0,1024-1024-1-119-BC800,1024-1024-1-119-BC800,NO,chips60,NO,OFFSET0,1,1024-1024-2-119-BC800,1024-1024-1-119-BC800,NO,chips60,NO,OFFSET0
HZ_OMC2.LZBSC1.1024.2.4,2010/12/11,浙江,杭州,HZ_MSC3,HZ_MGW1,HZ_OMC2.LZBSC1,HZ_OMC2.LZBSC1.1024,HZ_OMC2.LZBSC1.1024.2,杭州市长城大厦O-CD-2,2,4,119,231,1,,HZ_OMC2.LZBSC1.1024.3.4,10201,HZ_MSC3,HZ_MGW1,HZ_OMC2.LZBSC1,HZ_OMC2.LZBSC1.1024,HZ_OMC2.LZBSC1.1024.3,杭州市长城大厦O-CD-3,3,4,119,399,浙江,杭州,3,华为,0,1024-1024-2-119-BC800,1024-1024-3-119-BC800,1,1024-1024-1-119-BC800,1024-1024-3-119-BC800,NO,chips60,NO,OFFSET0,2,1024-1024-2-119-BC800,1024-1024-3-119-BC800,NO,chips60,NO,OFFSET0
