,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP2.7.2.1.1,MP2.7.2.1.2,MP2.7.2.1.3,MP2.7.2.1.4,MP2.7.2.1.5,MP2.7.2.1.6,MP2.7.2.1.7,MP2.7.2.1.8,MP2.7.2.1.9
源省际边界载扇标识,时间戳,省份,城市,源载扇所属MSC标识,源载扇所属MGW标识,源载扇所属BSC标识,源载扇所属BTS标识,源载扇所属扇区标识,源载扇所属扇区名称,源载扇所属扇区编号,源载波编号,源载波频点,源pn,邻区顺序,切换方法,邻载扇标识,邻载扇行政区,邻载扇所属ＭＳＣ标识,邻载扇所属ＭＧＷ标识,邻载扇所属ＢＳＣ标识,邻载扇所属ＢＴＳ标识,邻载扇所属扇区标识,邻扇区名称,邻扇区编号,邻载波标识,邻载波频点,邻pn,邻扇区所属省,邻扇区所属城市,邻扇区边界类型,邻扇区所属厂家,是否为外部邻区,PILOTPN,SYSTEMTYPE,BANDCLASS,ChannelNumber,SEARCHWINDOWSIZE,SEARCHWINDOWOFFSET,BCSubnet,sequence_b,CI
HZBSC1.1.0.2,2010-6-11,浙江,杭州,HZ_MSC5,HZ_VMGW2,HZBSC1,HZBSC1.1,HZBSC1.1.0,1_1_0_杭州市天雹水库O,0,2,37,81,0,,HZBSC1.1.1.2,10104,HZ_MSC5,HZ_VMGW2,HZBSC1,HZBSC1.1,HZBSC1.1.1,1_1_1_杭州市天雹水库O,1,2,37,249,浙江,杭州,1,中兴,0,249,0,0,37,10,0,255,1,0
HZBSC1.1.0.2,2010-6-11,浙江,杭州,HZ_MSC5,HZ_VMGW2,HZBSC1,HZBSC1.1,HZBSC1.1.0,1_1_0_杭州市天雹水库O,0,2,37,81,1,0,HZBSC1.1.2.2,10104,HZ_MSC5,HZ_VMGW2,HZBSC1,HZBSC1.1,HZBSC1.1.2,1_1_2_杭州市天雹水库O,2,2,37,417,浙江,杭州,1,中兴,0,417,0,0,37,10,0,255,2,0
