ID,PERIOD,CURR_DATA_TIME,DESCRIPTION,CONFIGNAME,END_DATA_TIME,ISUSED,PCNAME,REPORTOFFSET,REPORTTIME,ROWID
2000,D,2012-10-1,上传小区级台帐的定位字段给浩盈_后台模板0070_1_2.xml,上传小区级台帐的定位字段给浩盈_后台模板0070_1_2.xml,,1,,,2012-11-2 04:00,AADH8QAAIAALA6LAAA
,,,,,,,,,,
