MSC,CITY_NAME
MSCe4,深圳
MSCe3,深圳
MSCe10,云浮
MSCe2,广州
MSCe9,阳江
MSCe11,揭阳
珠海MSC1,珠海
MSCe6,惠州
MSCe1,广州
MSCe11,汕尾
江门2局（新）,江门
MSCe9,湛江
MSCe10,河源
江门MSC1,江门
MSCe11,汕头
MSCe8,中山
MSCe9,茂名
MSCe7,佛山
MSCe10,肇庆
MSCe10,清远
MSCe6,东莞
MSCe10,韶关
MSCe10,梅州
珠海MSC2,珠海
MSCe11,潮州
